objectid,sort_index,parentid,admin_notes,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
day-14-sun-oct-31,15,,,"Day 14 - Sun, Oct 31",Miriam Abia McFate,1926-10-31,,missouri,,"Aledo, IL",37.76084,-90.4461,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/015-sun-oct-31-1926.md
day-15-mon-nov-1,16,,,"Day 15 - Mon, Nov 1",Miriam Abia McFate,1926-11-01,,missouri,,"Little York, IL",37.57028,-90.31807,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/016-mon-nov-1-1926.md
day-16-tue-nov-2,17,,,"Day 16 - Tue, Nov 2",Miriam Abia McFate,1926-11-02,,missouri,,"Monmouth, IL",37.42747,-89.78394,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/017-tue-nov-2-1926.md
day-17-wed-nov-3,18,,,"Day 17 - Wed, Nov 3",Miriam Abia McFate,1926-11-03,,missouri,,,36.59081,-89.53445,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/018-wed-nov-3-1926.md
day-18-thu-nov-4,19,,,"Day 18 - Thu, Nov 4",Miriam Abia McFate,1926-11-04,,missouri,,"Good Hope, IL",36.59081,-89.53445,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/019-thu-nov-4-1926.md
day-19-fri-nov-5,19,,,"Day 19 - Fri, Nov 5",Miriam Abia McFate,1926-11-05,,missouri,,"Macomb, IL",36.59081,-89.53445,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/020-fri-nov-5-1926.md
day-20-sat-nov-6,20,,,"Day 20 - Sat, Nov 6",Miriam Abia McFate,1926-11-06,,arkansas,,"Fredricks, IL",35.69948,-89.96334,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/021-sat-nov-6-1926.md
day-21-sun-nov-7,21,,,"Day 21 - Sun, Nov 7",Miriam Abia McFate,1926-11-07,,arkansas,,"Fredricks, IL",35.26092,-90.52316,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/022-sun-nov-7-1926.md
day-22-mon-nov-8,22,,,"Day 22 - Mon, Nov 8",Miriam Abia McFate,1926-11-08,,arkansas,,"Rushville, IL",34.77263,-92.2081,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/023-mon-nov-8-1926.md
day-23-tue-nov-9,23,,,"Day 23 - Tue, Nov 9",Miriam Abia McFate,1926-11-09,,arkansas,,"Mt. Sterling, IL",34.12231,-93.07322,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/024-tue-nov-9-1926.md
day-24-wed-nov-10,24,,,"Day 24 - Wed, Nov 10",Miriam Abia McFate,1926-11-10,,texas,,"Clayton, IL",33.46131,-94.41474,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/025-wed-nov-10-1926.md
day-25-thu-nov-11,25,,,"Day 25 - Thu, Nov 11",Miriam Abia McFate,1926-11-11,,texas,,"Camp Point, IL",33.24853,-95.90559,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/026-thu-nov-11-1926.md
day-26-fri-nov-12,26,,,"Day 26 - Fri, Nov 12",Miriam Abia McFate,1926-11-12,,texas,,"Quincy, IL",32.73493,-97.42198,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/027-fri-nov-12-1926.md
day-27-sat-nov-13,27,,,"Day 27 - Sat, Nov 13",Miriam Abia McFate,1926-11-13,,texas,,"Palmyra, MO",32.40136,-98.82391,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/028-sat-nov-13-1926.md
day-28-sun-nov-14,28,,,"Day 28 - Sun, Nov 14",Miriam Abia McFate,1926-11-14,,texas,,"Palmyra, MO",32.49141,-100.29732,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/029-sun-nov-14-1926.md
day-29-mon-nov-15,29,,,"Day 29 - Mon, Nov 15",Miriam Abia McFate,1926-11-15,,texas,,"Hanibal, MO",31.96308,-102.13529,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/030-mon-nov-15-1926.md
day-30-tue-nov-16,30,,,"Day 30 - Tue, Nov 16",Miriam Abia McFate,1926-11-16,,texas,,"New London, MO",31.31308,-103.78715,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/031-tue-nov-16-1926.md
day-31-wed-nov-17,31,,,"Day 31 - Wed, Nov 17",Miriam Abia McFate,1926-11-17,,texas,,"Frankford, MO",31.17569,-105.35863,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/032-wed-nov-17-1926.md
day-32-thu-nov-18,32,,,"Day 32 - Thu, Nov 18",Miriam Abia McFate,1926-11-18,,texas,,"Louisianna, MO",31.76692,-106.46848,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/033-thu-nov-18-1926.md
day-33-fri-nov-19,33,,,"Day 33 - Fri, Nov 19",Miriam Abia McFate,1926-11-19,,new mexico,,Campground,32.26600,-107.7583,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/034-fri-nov-20-1926.md
day-34-sat-nov-20,34,,,"Day 34 - Sat, Nov 20",Miriam Abia McFate,1926-11-20,,arizona,,"near Louisanna, MO",32.71514,-109.1006,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/035-sat-nov-20-1926.md
day-35-sun-nov-21,35,,,"Day 35 - Sun, Nov 21",Miriam Abia McFate,1926-11-21,,arizona,,"Louisianna, MO",33.27786,-110.33174,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/036-sun-nov-21-1926.md
day-36-mon-nov-22,36,,,"Day 36 - Mon, Nov 22",Miriam Abia McFate,1926-11-22,,arizona,,"Eolia, MO",33.38511,-111.68497,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/037-mon-nov-22-1926.md
day-37-tue-nov-23,37,,,"Day 37 - Tue, Nov 23",Miriam Abia McFate,1926-11-23,,arizona,,"Troy, MO",33.43532,-112.29793,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/038-tue-nov-23-1926.md
day-38-wed-nov-24,38,,,"Day 38 - Wed, Nov 24",Miriam Abia McFate,1926-11-24,,arizona,,"Troy, MO",32.72671,-113.7552,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/039-wed-nov-24-1926.md
day-39-thu-nov-25,39,,,"Day 39 - Thu, Nov 25",Miriam Abia McFate,1926-11-25,,california,,"Moscow, MO",32.76416,-115.27058,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/040-thu-nov-25-1926.md
day-40-fri-nov-26,40,,,"Day 40 - Fri, Nov 26",Miriam Abia McFate,1926-11-26,,california,,"Old Monroe, MO",33.67912,-116.17596,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/041-fri-nov-26-1926.md
day-41-sat-nov-27,41,,,"Day 41 - Sat, Nov 27",Miriam Abia McFate,1926-11-27,,california,,"St. Charles, MO; Long Beach, CA",33.98007,-117.37592,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,,/objects/markdown/041-fri-nov-26-1926.md
